Player,Season,Age,Team,Assist,G+A,Non_penalty_goals,Non_penalty_xG,Expected_assisted_goals,Expected_assists,Non_penalty_expGoals_perShot,Shot_/90,Goals_perShot_onTarget,Shots_onTarget,Shots_onTarget%,Passes_toShot,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,TotDist_completed_passes,TotProgressive_passes,Attempted_long_passes,Long_passes_Cmp%,TotDist_Carries,PrgDist_Carries,Carries_10yards_forward,Carries_into_final_third,Carries_into18yard_box,Miscontrols,Dispossesd,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Aerials_Won%,Fouls_committed,Fouls_drawn,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Interceptions,Tackles_+Interc,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Succ_Takes_on%,Touches_Def_3rd,Touches_Att_Pen,Role,Tier_league
Abdoulaye Touré,2017-2018,23,Nantes,0.0,0.1,0.0,0.0,0.0,0.0,0.04,1.3,0.08,0.4,29.3,0.6,0.5,0.1,5.9,589.3,200.1,6.3,63.5,130.9,61.0,0.8,1.0,0.1,1.3,1.4,0.3,0.2,2.6,1.8,64.2,1.7,1.7,0.7,1.4,1.3,0.3,2.0,4.4,0.4,0.4,0.1,0.6,0.6,70.3,12.5,0.5,DM,0
Abdoulaye Touré,2018-2019,24,Nantes,0.0,0.1,0.1,0.1,0.1,0.0,0.04,1.8,0.21,0.5,25.5,0.8,0.6,0.2,4.8,562.4,160.8,4.4,63.2,150.6,72.3,1.2,1.4,0.1,1.5,1.3,0.2,0.1,2.5,1.8,47.5,0.9,1.5,0.6,1.2,0.8,0.3,1.5,3.1,0.5,0.4,0.1,0.5,0.8,71.2,9.1,0.6,DM,0
Abdoulaye Touré,2019-2020,25,Nantes,0.0,0.1,0.0,0.1,0.0,0.0,0.05,1.3,0.13,0.3,25.0,0.7,0.3,0.0,5.3,755.7,177.8,5.4,76.1,187.3,80.8,1.4,1.1,0.2,1.6,1.3,0.1,0.0,1.7,1.0,48.7,1.3,2.1,0.4,0.8,1.3,0.4,1.2,2.5,0.5,0.5,0.0,0.6,0.4,70.5,11.4,0.8,DM,0
Abdoulaye Touré,2020-2021,26,Nantes,0.1,0.2,0.1,0.1,0.1,0.1,0.07,1.4,0.25,0.2,15.4,0.7,0.4,0.0,5.4,709.1,186.2,4.4,72.3,154.8,69.8,1.2,1.2,0.0,1.5,1.0,0.3,0.3,2.2,1.8,60.0,1.1,1.6,0.7,0.9,0.9,0.1,1.2,2.7,0.3,0.3,0.2,0.3,0.5,70.0,9.0,1.0,DM,0
Adrien Rabiot,2017-2018,22,Paris S-G,0.2,0.2,0.0,0.1,0.1,0.1,0.06,0.9,0.2,0.2,21.7,1.0,1.0,0.2,7.6,1195.9,323.4,7.0,84.2,406.9,221.1,3.2,2.4,0.2,1.3,1.4,0.5,0.5,2.7,2.2,64.0,1.4,0.8,0.6,0.8,1.1,0.4,1.3,3.5,1.6,1.1,0.2,0.5,0.8,76.5,17.4,1.3,RM,1
Adrien Rabiot,2018-2019,23,Paris S-G,0.1,0.3,0.2,0.1,0.0,0.1,0.22,0.6,0.67,0.3,42.9,0.5,0.8,0.0,10.3,1333.1,352.7,7.5,86.5,453.8,268.4,4.0,2.8,0.2,1.2,0.8,0.8,0.7,2.4,2.0,66.7,1.9,0.7,0.8,0.3,0.8,0.2,0.8,3.8,1.3,0.8,0.3,0.3,0.5,68.2,17.1,0.8,RM,1
Adrien Tameze,2017-2018,23,Nice,0.1,0.1,0.0,0.0,0.1,0.0,0.04,0.4,0.0,0.2,42.9,0.4,0.1,0.0,4.6,1066.5,240.2,6.2,82.6,216.6,103.9,1.1,1.0,0.1,1.2,1.6,0.2,0.2,1.4,1.2,51.2,1.3,1.5,1.4,1.1,1.4,0.3,2.2,5.3,1.3,1.2,0.2,0.5,0.2,78.3,20.4,0.7,DM,1
Adrien Tameze,2018-2019,24,Nice,0.1,0.1,0.0,0.0,0.0,0.0,0.05,0.6,0.0,0.1,21.1,0.8,0.4,0.0,5.0,848.5,209.9,5.4,73.0,148.6,80.2,0.9,1.1,0.1,1.3,1.0,0.1,0.1,1.8,1.6,45.1,1.4,1.1,1.2,1.6,1.6,0.4,1.7,4.0,2.1,1.6,0.1,0.3,0.2,59.7,17.5,0.6,DM,1
Aimen Moueffek,2020-2021,19,Saint-Étienne,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,,0.0,0.0,1.0,0.7,0.0,4.0,536.1,187.5,4.6,50.0,186.2,98.0,2.1,1.3,0.1,2.1,1.2,0.0,0.0,1.8,1.3,66.7,2.4,1.8,1.6,2.3,2.1,0.2,1.1,4.1,7.4,0.7,0.0,0.2,0.7,60.6,20.6,0.6,CM,0
Alexis Blin,2017-2018,20,Toulouse,0.1,0.2,0.0,0.0,0.1,0.1,0.07,0.5,0.33,0.1,27.3,0.3,0.3,0.2,4.7,459.2,169.4,4.2,55.7,107.4,48.8,0.4,1.0,0.1,0.8,1.0,0.2,0.2,1.3,1.1,47.8,1.5,1.8,1.0,2.2,1.3,0.3,1.5,4.2,0.8,0.5,0.0,0.3,0.7,61.5,8.8,1.0,DM,0
Alexis Blin,2018-2019,21,Amiens,0.0,0.1,0.0,0.0,0.0,0.0,0.06,0.3,1.0,0.0,14.3,0.3,0.3,0.1,4.2,534.8,174.3,3.4,64.0,94.5,42.2,0.4,0.4,0.0,1.4,0.8,0.1,0.1,1.1,1.0,49.5,1.4,1.5,1.6,2.4,1.8,0.6,1.5,5.0,0.8,0.6,0.0,0.4,0.2,55.6,12.5,0.4,DM,0
Alexis Blin,2019-2020,22,Amiens,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.1,,0.0,0.0,0.3,0.2,0.0,4.9,712.8,209.9,5.1,69.5,112.8,52.4,0.5,0.5,0.0,1.4,0.5,0.0,0.0,0.8,0.6,50.6,1.6,1.3,1.0,2.0,1.2,0.3,0.8,2.7,1.9,1.5,0.0,0.4,0.9,66.7,13.9,0.2,DM,0
Amadou Onana,2021-2022,19,Lille,0.0,0.1,0.1,0.2,0.1,0.1,0.17,1.0,0.17,0.4,40.0,1.0,0.5,0.0,3.9,591.5,145.9,5.7,70.9,182.3,88.8,1.6,1.0,0.2,1.2,0.6,0.1,0.0,2.2,1.9,53.3,2.1,1.7,1.2,0.5,0.7,0.2,2.0,5.2,0.3,0.3,0.3,0.3,0.1,61.9,11.4,1.3,DM,1
Andrés Cubas,2020-2021,24,Nîmes,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.4,0.2,0.2,45.5,0.4,0.2,0.0,3.1,618.6,194.6,5.9,64.4,109.9,49.8,0.2,0.4,0.1,1.0,0.9,0.0,0.0,0.8,0.7,16.7,1.4,0.7,1.3,1.6,1.5,0.4,2.0,5.2,1.7,1.4,0.0,0.6,0.5,58.8,17.0,0.3,DM,0
Andre-Frank Zambo Anguissa,2017-2018,21,Marseille,0.0,0.0,0.0,0.1,0.1,0.1,0.05,1.3,0.0,0.3,20.6,1.0,0.4,0.1,5.4,750.3,238.3,3.1,67.5,277.1,129.2,2.2,2.4,0.3,1.6,1.5,0.2,0.1,2.7,1.8,62.4,2.1,2.1,1.2,2.3,1.8,0.3,2.5,5.7,1.1,0.8,0.1,0.1,0.6,76.9,13.4,1.2,DM,1
Antonin Bobichon,2018-2019,22,Nîmes,0.1,0.4,0.3,0.1,0.1,0.1,0.05,1.5,0.64,0.5,30.6,1.1,0.3,0.0,3.9,477.3,141.7,5.3,58.3,142.0,73.4,1.7,1.3,0.4,1.2,1.0,0.2,0.0,2.7,1.8,30.9,1.5,0.5,0.7,1.8,0.6,0.1,0.6,2.0,2.5,1.1,0.1,0.4,2.0,51.5,7.7,1.0,CM,0
Antonin Bobichon,2019-2020,23,2 Teams,0.1,0.3,0.2,0.1,0.1,0.1,0.05,2.4,0.4,0.5,22.7,1.0,0.7,0.3,6.4,548.5,163.7,7.3,53.7,152.4,87.8,2.5,2.3,0.3,2.2,1.2,0.3,0.1,3.0,2.1,23.5,1.5,0.9,0.5,1.8,0.9,0.0,0.9,2.3,4.2,1.4,0.0,0.5,4.3,60.0,6.4,1.8,CM,0
Antonin Bobichon,2020-2021,24,Angers,0.1,0.1,0.0,0.1,0.1,0.1,0.04,2.2,0.0,0.3,13.6,1.7,0.5,0.0,6.0,706.7,196.9,8.5,54.7,199.3,90.4,2.0,2.4,0.3,1.7,1.6,0.3,0.2,4.3,2.9,40.0,1.4,1.6,0.9,0.6,0.4,0.1,0.2,2.5,4.9,2.1,0.2,1.2,4.2,69.2,6.5,2.0,CM,0
Arnaud Lusamba,2019-2020,22,Nice,0.2,0.3,0.1,0.0,0.1,0.1,0.07,0.5,0.33,0.3,50.0,1.6,0.3,0.0,3.9,529.0,123.0,3.3,75.0,104.8,48.8,0.6,1.6,0.2,2.0,1.7,0.4,0.4,2.6,1.8,18.8,0.9,2.0,0.6,1.5,0.8,0.0,0.5,2.3,2.7,1.0,0.0,0.6,1.0,79.2,8.1,0.9,CM,0
Assane Dioussé,2017-2018,19,Saint-Étienne,0.0,0.1,0.1,0.1,0.0,0.0,0.08,0.7,0.33,0.2,30.0,0.5,0.3,0.0,6.2,882.7,248.1,8.7,69.2,156.8,67.4,0.9,0.4,0.2,1.1,1.5,0.0,0.0,1.0,1.0,40.0,1.7,1.0,0.9,1.4,1.9,0.1,0.7,2.9,1.7,0.8,0.2,0.7,0.7,86.7,14.9,0.6,DM,0
Aurélien Tchouaméni,2018-2019,18,Bordeaux,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.9,0.0,0.1,14.3,0.4,0.3,0.0,3.2,461.9,157.6,4.9,55.3,129.5,58.6,0.6,0.6,0.1,0.6,1.2,0.0,0.0,0.9,0.9,39.3,2.4,1.0,0.9,1.4,1.4,0.6,2.7,5.8,0.9,0.9,0.0,0.4,0.1,60.0,12.5,0.8,DM,0
Aurélien Tchouaméni,2019-2020,19,2 Teams,0.1,0.1,0.0,0.1,0.0,0.0,0.06,1.1,0.0,0.5,42.9,0.6,0.1,0.0,6.7,793.1,271.5,4.1,74.1,171.7,84.3,0.7,0.8,0.2,0.7,0.8,0.1,0.0,1.6,1.3,65.5,2.1,1.9,0.8,1.4,0.8,0.2,1.0,3.3,1.3,1.3,0.1,0.2,0.1,83.3,15.5,0.8,DM,0
Aurélien Tchouaméni,2020-2021,20,Monaco,0.1,0.2,0.1,0.1,0.1,0.1,0.08,1.6,0.18,0.3,20.8,0.5,0.6,0.0,5.8,773.0,213.9,6.3,63.6,189.7,81.3,1.2,1.0,0.1,1.5,0.9,0.3,0.2,1.6,1.2,66.4,1.7,1.8,1.4,1.3,1.1,0.3,1.8,5.5,1.1,1.1,0.1,0.9,0.9,62.9,13.3,1.6,DM,1
Aurélien Tchouaméni,2021-2022,21,Monaco,0.1,0.2,0.1,0.1,0.1,0.1,0.04,1.7,0.3,0.3,18.2,0.6,1.0,0.1,7.7,991.6,298.2,7.2,71.7,261.2,116.0,1.4,1.3,0.2,0.6,0.9,0.2,0.2,2.2,1.5,71.3,1.6,1.8,0.9,0.8,1.2,0.2,3.1,5.7,2.0,1.9,0.2,0.4,0.5,74.5,14.7,1.5,DM,1
Azor Matusiwa,2021-2022,23,Reims,0.0,0.1,0.0,0.0,0.0,0.0,0.04,0.4,0.2,0.2,50.0,0.6,0.3,0.0,4.8,667.1,188.7,6.4,78.4,135.6,55.4,0.4,0.6,0.0,1.0,0.3,0.1,0.1,1.5,1.3,46.6,1.1,1.1,1.0,1.1,1.8,0.7,2.3,4.4,0.5,0.5,0.1,0.4,0.1,82.4,17.2,0.2,DM,0
Azzedine Ounahi,2021-2022,21,Angers,0.1,0.2,0.1,0.1,0.1,0.1,0.08,1.4,0.5,0.2,15.4,1.0,0.9,0.1,6.1,691.6,176.1,4.8,67.0,254.1,124.9,2.8,2.5,0.3,2.9,1.8,0.2,0.1,2.6,2.0,44.8,1.1,1.4,0.6,1.6,1.0,0.1,1.4,3.6,1.7,0.5,0.2,0.3,1.0,46.4,10.6,1.4,CM,0
Baissama Sankoh,2017-2018,25,Caen,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.2,0.0,0.1,33.3,0.5,0.2,0.1,3.0,411.8,113.6,2.5,55.8,108.2,46.4,0.9,0.6,0.1,1.6,1.1,0.1,0.1,0.9,0.7,48.5,1.6,1.7,0.5,1.2,1.2,0.5,1.5,3.0,0.5,0.3,0.1,0.2,0.2,57.9,12.5,0.4,DM,0
Baissama Sankoh,2018-2019,26,Caen,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.6,,0.0,0.0,0.3,0.0,0.0,2.1,310.4,66.1,1.4,40.0,132.0,51.7,1.4,0.8,0.1,1.7,1.0,0.1,0.1,1.0,0.6,42.3,1.2,1.5,0.1,0.4,1.1,0.1,0.7,1.2,0.4,0.1,0.0,0.0,0.7,31.3,11.2,1.0,DM,0
Baptiste Santamaria,2017-2018,22,Angers,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.6,0.0,0.0,5.6,0.6,0.2,0.1,4.7,563.6,179.1,6.1,62.5,145.6,73.4,1.0,1.2,0.1,0.9,0.9,0.1,0.0,1.6,1.2,55.8,1.7,1.7,0.8,2.1,1.4,0.3,1.5,3.5,0.1,0.0,0.1,0.4,0.6,88.0,12.6,0.3,DM,0
Baptiste Santamaria,2018-2019,23,Angers,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.7,0.2,0.1,20.8,0.4,0.4,0.0,3.9,612.6,160.3,7.6,64.6,136.3,64.6,1.0,0.9,0.0,1.1,0.9,0.1,0.1,1.3,1.0,48.7,1.4,1.4,1.4,1.5,1.1,0.1,1.6,4.9,0.3,0.2,0.0,0.8,0.3,63.6,13.6,0.3,DM,0
Baptiste Santamaria,2019-2020,24,Angers,0.0,0.1,0.0,0.1,0.0,0.1,0.05,1.3,0.09,0.4,31.4,0.5,0.3,0.0,5.9,734.6,229.6,9.2,68.8,131.0,71.1,1.3,0.8,0.2,1.2,0.9,0.1,0.1,1.9,1.4,57.6,0.7,1.1,1.3,1.6,1.0,0.2,1.5,4.8,0.5,0.4,0.1,1.2,0.4,73.8,14.8,0.8,DM,1
Baptiste Santamaria,2021-2022,26,Rennes,0.0,0.1,0.1,0.1,0.0,0.0,0.05,1.2,0.29,0.3,20.6,0.6,0.5,0.1,4.8,910.1,231.4,8.7,77.0,204.8,92.9,0.7,0.6,0.0,1.1,0.6,0.3,0.3,1.6,1.5,64.3,1.3,0.8,0.9,0.7,1.2,0.4,1.2,3.0,0.8,0.6,0.1,0.8,0.5,46.2,16.6,1.2,DM,1
Batista Mendy,2021-2022,21,Angers,0.0,0.1,0.0,0.0,0.0,0.0,0.06,0.5,0.17,0.2,42.9,0.4,0.3,0.0,4.4,719.4,219.4,5.6,62.3,171.3,86.5,0.7,0.8,0.0,0.7,0.8,0.1,0.1,0.8,0.7,50.0,2.0,0.4,0.9,0.8,1.4,0.2,1.3,3.1,1.1,1.0,0.0,0.3,0.2,69.0,20.4,0.4,DM,0
Benjamin André,2017-2018,26,Rennes,0.1,0.2,0.1,0.1,0.1,0.0,0.13,1.0,0.38,0.2,25.0,1.0,0.7,0.1,7.0,668.4,175.6,5.3,63.8,151.8,68.4,1.4,1.6,0.1,2.0,1.7,0.2,0.2,2.3,2.0,55.3,2.2,1.4,1.3,2.1,1.7,0.1,1.7,4.5,1.4,1.0,0.3,0.7,0.6,79.5,11.1,1.5,DM,0
Benjamin André,2018-2019,27,Rennes,0.0,0.1,0.1,0.1,0.0,0.0,0.11,1.0,0.33,0.3,32.1,0.7,0.7,0.0,6.7,650.9,180.8,4.7,60.0,180.1,87.7,1.9,1.2,0.1,2.0,1.4,0.2,0.1,2.4,1.8,59.0,2.1,1.7,1.2,1.9,1.4,0.2,1.9,5.6,1.3,1.0,0.2,0.4,0.5,65.6,12.3,1.7,DM,1
Benjamin André,2019-2020,28,Lille,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.6,0.67,0.1,21.4,0.7,0.2,0.1,5.7,663.5,185.2,5.2,58.8,152.1,70.8,1.1,1.1,0.1,0.7,0.9,0.2,0.2,1.7,1.4,62.5,2.4,1.6,1.3,2.0,1.4,0.4,2.6,5.7,0.9,0.8,0.0,0.7,0.5,64.0,10.5,0.9,DM,1
Benjamin Bourigeaud,2017-2018,23,Rennes,0.2,0.5,0.2,0.2,0.3,0.2,0.1,1.8,0.29,0.7,38.1,2.8,1.0,0.4,4.9,670.1,231.0,10.6,52.3,139.5,70.4,1.8,1.8,0.2,1.6,1.1,0.3,0.2,4.3,2.0,18.8,1.0,0.4,0.6,2.1,1.4,0.1,1.3,2.9,8.3,3.2,0.2,0.9,8.1,47.9,8.5,1.5,CM,0
Benjamin Bourigeaud,2018-2019,24,Rennes,0.2,0.4,0.1,0.2,0.1,0.1,0.1,1.6,0.29,0.5,31.8,1.2,0.8,0.3,4.6,637.1,171.3,9.4,56.3,147.5,70.9,2.0,1.3,0.2,1.5,0.9,0.4,0.2,2.6,1.8,29.4,1.3,0.5,0.7,1.7,1.6,0.2,1.2,3.2,4.3,1.5,0.2,1.2,4.5,31.3,8.8,1.3,CM,1
Danilo Barbosa,2018-2019,22,Nice,0.0,0.0,0.0,0.1,0.1,0.0,0.08,1.3,0.0,0.3,27.3,0.7,0.3,0.0,3.6,467.4,117.5,2.4,59.5,133.5,72.7,1.6,1.1,0.4,2.4,2.3,0.1,0.0,2.4,1.3,50.0,1.0,2.0,0.3,0.6,1.0,0.1,0.9,2.6,0.3,0.3,0.1,0.2,0.1,62.3,10.5,1.8,DM,0
Danilo Barbosa,2019-2020,23,Nice,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.4,0.0,0.1,20.0,0.8,0.2,0.0,5.3,1022.8,317.7,4.5,64.3,245.4,155.7,1.7,0.7,0.2,2.0,0.6,0.2,0.2,1.6,1.4,51.4,1.3,1.6,1.0,1.3,1.7,0.5,1.6,3.9,1.5,1.5,0.1,0.2,0.1,76.5,30.0,0.7,DM,0
Danylo Ihnatenko,2021-2022,24,Bordeaux,0.4,0.4,0.0,0.0,0.2,0.2,0.03,1.6,0.0,0.1,8.3,1.7,1.0,0.1,6.2,764.7,182.6,6.9,79.2,224.2,109.9,2.1,2.0,0.0,0.8,0.3,0.5,0.3,3.1,2.5,72.2,2.1,0.9,1.3,1.8,1.2,0.3,0.8,3.0,1.0,0.5,0.0,0.9,1.0,100.0,11.3,0.4,CM,0
Didier Ibrahim Ndong,2018-2019,24,Guingamp,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.4,0.0,0.1,33.3,0.5,0.6,0.2,4.0,578.2,143.1,5.1,69.0,169.4,76.5,1.6,1.0,0.0,1.5,1.2,0.1,0.1,1.5,1.2,37.8,2.1,1.3,0.6,1.0,1.8,0.4,1.8,3.7,0.7,0.5,0.1,0.2,0.7,54.5,9.2,0.5,DM,0
Didier Ibrahim Ndong,2019-2020,25,Dijon,0.1,0.1,0.0,0.0,0.1,0.0,0.04,0.7,0.0,0.2,31.6,0.6,0.2,0.1,4.9,835.6,228.1,6.5,72.7,199.7,94.5,1.8,1.1,0.1,0.9,0.9,0.1,0.1,1.7,1.5,40.9,1.3,0.6,1.1,1.1,1.0,0.2,1.8,4.2,1.4,1.1,0.2,0.7,0.8,59.4,17.2,0.6,DM,0
Didier Ibrahim Ndong,2020-2021,26,Dijon,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.2,0.0,0.0,16.7,0.3,0.2,0.1,5.3,847.8,232.7,7.6,73.2,197.0,88.0,1.3,0.8,0.0,1.3,0.6,0.0,0.0,1.1,1.0,46.3,1.4,0.6,0.9,1.6,1.2,0.2,1.3,3.1,1.2,1.1,0.1,0.7,0.7,71.0,14.4,0.2,DM,0
Dion Lopy,2021-2022,19,Reims,0.0,0.0,0.0,0.1,0.0,0.0,0.06,0.9,0.0,0.1,12.5,0.5,0.0,0.0,2.7,518.0,103.5,4.9,80.9,181.7,75.9,0.9,0.9,0.1,2.1,1.5,0.1,0.1,1.2,0.9,45.2,2.1,0.9,1.2,1.8,1.1,0.2,1.2,4.1,0.5,0.5,0.0,1.0,0.2,60.0,12.4,0.9,DM,0
Durel Avounou,2017-2018,19,Caen,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.7,0.0,0.1,20.0,0.4,0.3,0.1,1.8,380.9,128.7,5.7,41.5,93.2,32.5,0.7,0.7,0.3,1.7,0.8,0.0,0.0,0.7,0.6,38.5,1.0,0.7,0.7,1.7,1.7,0.1,1.4,3.6,5.1,0.3,0.0,0.1,2.9,83.3,11.2,0.8,CM,0
Dylan Chambost,2021-2022,23,Troyes,0.1,0.1,0.0,0.1,0.1,0.1,0.06,1.2,0.0,0.1,10.0,1.1,0.8,0.2,5.6,758.2,210.1,7.5,52.4,158.1,78.5,0.8,1.0,0.0,1.1,0.5,0.1,0.0,2.5,1.9,50.0,0.8,0.6,0.5,2.5,1.1,0.2,1.0,2.9,2.7,1.7,0.2,0.2,2.5,66.7,14.0,1.1,CM,0
Eddy Gnahoré,2018-2019,24,Amiens,0.1,0.2,0.2,0.2,0.1,0.1,0.14,1.2,0.29,0.6,46.7,1.2,0.5,0.0,3.5,656.4,138.7,3.7,79.6,210.3,87.2,1.8,1.3,0.3,1.7,1.7,0.3,0.2,2.4,2.0,51.8,1.4,0.4,0.4,1.2,1.2,0.2,0.9,2.5,1.3,1.0,0.1,0.1,0.2,62.2,8.8,2.1,DM,0
Eddy Gnahoré,2019-2020,25,Amiens,0.0,0.0,0.0,0.1,0.0,0.0,0.12,0.6,,0.0,0.0,0.6,0.2,0.0,4.5,843.5,187.1,4.9,69.4,210.3,91.7,1.0,1.2,0.1,1.7,1.7,0.2,0.1,1.6,1.5,50.0,2.3,0.4,0.6,1.6,2.0,0.3,0.7,2.6,2.1,1.8,0.0,0.3,0.5,42.9,13.6,0.6,DM,0
Eliot Matazo,2021-2022,19,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.5,0.0,0.1,25.0,0.5,0.5,0.0,5.2,653.0,147.4,4.1,66.7,195.6,83.7,1.6,0.9,0.0,1.5,0.6,0.0,0.0,1.3,1.0,38.1,1.8,0.9,0.2,1.0,1.3,0.3,1.5,2.4,0.8,0.8,0.1,0.5,0.1,52.9,9.1,0.5,CM,0
