Player,Season,Team,Role,Tier_league,p_upward_best,rank_best,percentile_best,p_upward_mlp,rank_mlp,percentile_mlp
Jean-Clair Todibo,2021-2022,Nice,CB,1,0.9813359,1,1.0,0.7300097079547406,21,0.9183673469387755
William Saliba,2021-2022,Marseille,CB,1,0.97573996,2,0.9959183673469387,0.6874705687267751,24,0.9061224489795918
Presnel Kimpembe,2020-2021,Paris S-G,CB,1,0.97487587,3,0.9918367346938776,0.8378057486538676,5,0.9836734693877551
Nayef Aguerd,2020-2021,Rennes,CB,1,0.9725293,4,0.9877551020408163,0.7517507887470917,17,0.9346938775510204
Presnel Kimpembe,2019-2020,Paris S-G,CB,1,0.9713037,5,0.9836734693877551,0.8735293200185155,2,0.9959183673469387
Marquinhos,2018-2019,Paris S-G,CB,1,0.9690972,6,0.9795918367346939,0.8633977998160548,3,0.9918367346938776
Benoît Badiashile,2021-2022,Monaco,CB,1,0.9645056,7,0.9755102040816327,0.8214923469775791,6,0.9795918367346939
Thilo Kehrer,2020-2021,Paris S-G,CB,1,0.96350867,8,0.9714285714285714,0.7798201059896382,13,0.9510204081632653
Thilo Kehrer,2018-2019,Paris S-G,CB,1,0.9630545,9,0.9673469387755103,0.8123047252362234,9,0.9673469387755103
Sven Botman,2020-2021,Lille,CB,1,0.96179503,10,0.963265306122449,0.6770073991184294,26,0.8979591836734694
Gabriel Magalhães,2019-2020,Lille,CB,1,0.9598219,11,0.9591836734693877,0.8200633553503757,7,0.9755102040816327
Presnel Kimpembe,2017-2018,Paris S-G,CB,1,0.95763767,12,0.9551020408163265,0.7726419456012833,14,0.9469387755102041
Benoît Badiashile,2019-2020,Monaco,CB,1,0.9575221,13,0.9510204081632653,0.6086386390423375,33,0.8693877551020408
Marquinhos,2019-2020,Paris S-G,CB,1,0.94467676,14,0.9469387755102041,0.9148862363765835,1,1.0
Danilo Pereira,2020-2021,Paris S-G,CB,1,0.9435183,15,0.9428571428571428,0.7878609744168897,10,0.963265306122449
Presnel Kimpembe,2021-2022,Paris S-G,CB,1,0.9426966,16,0.9387755102040817,0.818321841498064,8,0.9714285714285714
Axel Disasi,2020-2021,Monaco,CB,1,0.94131947,17,0.9346938775510204,0.5042949620170508,47,0.8122448979591836
Marquinhos,2020-2021,Paris S-G,CB,1,0.9409837,18,0.9306122448979591,0.7835094589077578,12,0.9551020408163265
Stanley N'Soki,2019-2020,Nice,CB,1,0.9286917,19,0.926530612244898,0.7371417925553817,19,0.926530612244898
Axel Disasi,2019-2020,Reims,CB,1,0.9263138,20,0.9224489795918367,0.49700610029989806,50,0.8
Benoît Badiashile,2020-2021,Monaco,CB,1,0.91739804,21,0.9183673469387755,0.7524095667247281,16,0.9387755102040817
Abdou Diallo,2019-2020,Paris S-G,CB,1,0.9076379,22,0.9142857142857143,0.6787433434233597,25,0.9020408163265307
Leonardo Balerdi,2021-2022,Marseille,CB,1,0.90740305,23,0.9102040816326531,0.4689347783012279,55,0.7795918367346939
Marquinhos,2021-2022,Paris S-G,CB,1,0.90580624,24,0.9061224489795918,0.43161482348111935,61,0.7551020408163265
Stanley N'Soki,2020-2021,Nice,CB,1,0.90501946,25,0.9020408163265307,0.6179987239811922,31,0.8775510204081632
Thilo Kehrer,2021-2022,Paris S-G,CB,1,0.9049046,26,0.8979591836734694,0.548867360155603,38,0.8489795918367347
Boubacar Kamara,2018-2019,Marseille,CB,1,0.90334004,27,0.8938775510204081,0.6350472079438159,29,0.8857142857142857
Loïc Bade,2021-2022,Rennes,CB,1,0.900142,28,0.889795918367347,0.4777137916186679,52,0.7918367346938775
Marlon,2017-2018,Nice,CB,1,0.8984387,29,0.8857142857142857,0.6576168246430059,27,0.8938775510204081
William Saliba,2020-2021,Nice,CB,1,0.898418,30,0.8816326530612245,0.4227568680177626,63,0.746938775510204
Guillermo Maripán,2021-2022,Monaco,CB,1,0.8953242,31,0.8775510204081632,0.25263913121167114,112,0.5469387755102041
Marquinhos,2017-2018,Paris S-G,CB,1,0.8943017,32,0.8734693877551021,0.6407180914509871,28,0.889795918367347
Kevin Danso,2021-2022,Lens,CB,1,0.89072156,33,0.8693877551020408,0.7860280358693104,11,0.9591836734693877
Sven Botman,2021-2022,Lille,CB,1,0.8847171,34,0.8653061224489796,0.5135073248908067,45,0.8204081632653061
Tiago Djaló,2020-2021,Lille,CB,1,0.8845908,35,0.8612244897959184,0.6345174455909521,30,0.8816326530612245
Castello Lukeba,2021-2022,Lyon,CB,1,0.87203944,36,0.8571428571428571,0.5454462180646448,40,0.8408163265306122
Mouctar Diakhaby,2017-2018,Lyon,CB,1,0.870925,37,0.8530612244897959,0.29991399195692015,94,0.6204081632653061
Axel Disasi,2021-2022,Monaco,CB,1,0.86429286,38,0.8489795918367347,0.5771740158923464,36,0.8571428571428571
Presnel Kimpembe,2018-2019,Paris S-G,CB,1,0.85255057,39,0.8448979591836735,0.8389566529071459,4,0.9877551020408163
Guillermo Maripán,2020-2021,Monaco,CB,1,0.8523804,40,0.8408163265306122,0.4033677097842543,67,0.7306122448979592
Gabriel Magalhães,2018-2019,Lille,CB,1,0.8520519,41,0.8367346938775511,0.7025480422751201,23,0.9102040816326531
Trevoh Chalobah,2020-2021,Lorient,CB,1,0.85073537,42,0.8326530612244898,0.30521871249695015,90,0.636734693877551
Olivier Boscagli,2018-2019,Nice,CB,1,0.8379112,43,0.8285714285714286,0.5845368100841195,34,0.8653061224489796
Mohamed Simakan,2020-2021,Strasbourg,CB,1,0.83573496,44,0.8244897959183674,0.3700449458947104,75,0.6979591836734694
Issa Diop,2017-2018,Toulouse,CB,1,0.834285,45,0.8204081632653061,0.27800854879023024,103,0.5836734693877551
Diego Carlos,2018-2019,Nantes,CB,1,0.8289441,46,0.8163265306122449,0.21399446526283467,127,0.4857142857142857
Nayef Aguerd,2021-2022,Rennes,CB,1,0.814375,47,0.8122448979591836,0.5309312258925492,41,0.8367346938775511
Moussa Niakhate,2017-2018,Metz,CB,1,0.81361717,48,0.8081632653061225,0.12193501758536981,183,0.2571428571428571
Guillermo Maripán,2019-2020,Monaco,CB,1,0.812522,49,0.8040816326530612,0.29332736567578155,98,0.6040816326530613
Almamy Touré,2017-2018,Monaco,CB,1,0.8083467,50,0.8,0.41286528134145883,65,0.7387755102040816
Duje Ćaleta-Car,2018-2019,Marseille,CB,1,0.78954005,51,0.7959183673469388,0.43919867404550933,58,0.7673469387755102
Wesley Fofana,2019-2020,Saint-Étienne,CB,1,0.7854883,52,0.7918367346938775,0.5107962962836065,46,0.8163265306122449
Adama Soumaoro,2018-2019,Lille,CB,1,0.78009784,53,0.7877551020408163,0.32880092971021163,83,0.6653061224489796
Loïc Bade,2020-2021,Lens,CB,1,0.77692163,54,0.7836734693877551,0.306381456026578,89,0.6408163265306123
Mohamed Simakan,2019-2020,Strasbourg,CB,1,0.74441993,55,0.7795918367346939,0.7389272657937903,18,0.9306122448979591
Nayef Aguerd,2019-2020,Dijon,CB,1,0.7137217,56,0.7755102040816326,0.29371245420336706,97,0.6081632653061224
Diego Carlos,2017-2018,Nantes,CB,1,0.69795626,57,0.7714285714285715,0.5243828342773958,42,0.8326530612244898
Koffi Djidji,2017-2018,Nantes,CB,1,0.65112674,58,0.7673469387755102,0.2223796195734611,123,0.5020408163265306
Adama Soumaoro,2017-2018,Lille,CB,1,0.616707,59,0.763265306122449,0.21450207780050012,126,0.4897959183673469
Moritz Jenz,2021-2022,Lorient,CB,1,0.5976848,60,0.7591836734693878,0.07979753928534164,208,0.15510204081632653
Duje Ćaleta-Car,2021-2022,Marseille,CB,0,0.2870623,61,0.7551020408163265,0.7710901663657217,15,0.9428571428571428
Facundo Medina,2021-2022,Lens,CB,0,0.19751611,62,0.7510204081632653,0.5784835957129703,35,0.8612244897959184
Joachim Andersen,2019-2020,Lyon,CB,0,0.18477382,63,0.746938775510204,0.547598519964656,39,0.8448979591836735
Jason Denayer,2019-2020,Lyon,CB,0,0.1700628,64,0.7428571428571429,0.43557221769657856,59,0.763265306122449
Christophe Hérelle,2019-2020,Nice,CB,0,0.15183355,65,0.7387755102040816,0.500597014962944,48,0.8081632653061225
Jean-Clair Todibo,2020-2021,Nice,CB,0,0.15109245,66,0.7346938775510204,0.2514723001851566,114,0.5387755102040817
Giulian Biancone,2021-2022,Troyes,CB,0,0.14485396,67,0.7306122448979592,0.20429864285216384,133,0.46122448979591835
Gerzino Nyamsi,2020-2021,Rennes,CB,0,0.14484185,68,0.726530612244898,0.3424821223944383,79,0.6816326530612244
Duje Ćaleta-Car,2019-2020,Marseille,CB,0,0.13538846,69,0.7224489795918367,0.49843900044255857,49,0.8040816326530612
Félix Eboa Eboa,2018-2019,Guingamp,CB,0,0.13303052,70,0.7183673469387755,0.30082429704193886,93,0.6244897959183674
Christopher Wooh,2021-2022,Lens,CB,0,0.13227046,71,0.7142857142857143,0.43207136554232967,60,0.7591836734693878
Chidozie Awaziem,2017-2018,Nantes,CB,0,0.12560654,72,0.710204081632653,0.20567165703461576,131,0.46938775510204084
Malang Sarr,2017-2018,Nice,CB,0,0.11711191,73,0.7061224489795919,0.3605809636542646,76,0.6938775510204082
Lucas Perrin,2021-2022,Strasbourg,CB,0,0.11391149,74,0.7020408163265306,0.7240135095159613,22,0.9142857142857143
Warmed Omari,2021-2022,Rennes,CB,0,0.11267661,75,0.6979591836734694,0.35387639632639556,78,0.6857142857142857
Abdou Diallo,2021-2022,Paris S-G,CB,0,0.10815257,76,0.6938775510204082,0.22176658059209398,124,0.49795918367346936
Harold Moukoudi,2019-2020,Saint-Étienne,CB,0,0.105770186,77,0.689795918367347,0.3915462450781211,71,0.7142857142857143
Nayef Aguerd,2018-2019,Dijon,CB,0,0.10041201,78,0.6857142857142857,0.23101992302152613,119,0.5183673469387755
Lilian Brassier,2020-2021,2 Teams,CB,0,0.09742287,79,0.6816326530612244,0.3255584485878994,84,0.6612244897959184
Christophe Hérelle,2018-2019,Nice,CB,0,0.09292081,80,0.6775510204081633,0.5179808639189619,44,0.8244897959183674
Lilian Brassier,2021-2022,Brest,CB,0,0.09079959,81,0.673469387755102,0.34193806714957314,81,0.673469387755102
Duje Ćaleta-Car,2020-2021,Marseille,CB,0,0.08752309,82,0.6693877551020408,0.315506721412951,85,0.6571428571428571
Alexander Djiku,2019-2020,Strasbourg,CB,0,0.08621496,83,0.6653061224489796,0.3421845197747889,80,0.6775510204081633
Júnior Alonso,2017-2018,Lille,CB,0,0.08424895,84,0.6612244897959184,0.18065324261680746,150,0.39183673469387753
Joris Gnagnon,2017-2018,Rennes,CB,0,0.077875026,85,0.6571428571428571,0.2662498737696935,107,0.5673469387755102
Stanley N'Soki,2018-2019,Paris S-G,CB,0,0.076394476,86,0.6530612244897959,0.7317923465669569,20,0.9224489795918367
Flavius Daniliuc,2020-2021,Nice,CB,0,0.0762334,87,0.6489795918367347,0.2854611786292293,102,0.5877551020408164
Christophe Hérelle,2020-2021,Brest,CB,0,0.07523291,88,0.6448979591836734,0.4034161071825085,66,0.7346938775510204
Jérémy Gélin,2017-2018,Rennes,CB,0,0.07294918,89,0.6408163265306123,0.29327826387890926,99,0.6
Sinaly Diomande,2020-2021,Lyon,CB,0,0.06641945,90,0.636734693877551,0.5765953811200949,37,0.8530612244897959
Facundo Medina,2020-2021,Lens,CB,0,0.06602453,91,0.6326530612244898,0.2549906094955168,111,0.5510204081632653
Wout Faes,2020-2021,Reims,CB,0,0.06568101,92,0.6285714285714286,0.1141050053664089,187,0.24081632653061225
Agustín Rogel,2019-2020,Toulouse,CB,0,0.06558665,93,0.6244897959183674,0.1937236348067569,138,0.44081632653061226
Naomichi Ueda,2020-2021,Nîmes,CB,0,0.06503513,94,0.6204081632653061,0.06181340219080468,224,0.08979591836734693
Malang Sarr,2018-2019,Nice,CB,0,0.06408751,95,0.6163265306122448,0.451425465285542,56,0.7755102040816326
Jean-Clair Todibo,2018-2019,Toulouse,CB,0,0.06403333,96,0.6122448979591837,0.1857139413558619,147,0.40408163265306124
Jonathan Panzo,2020-2021,Dijon,CB,0,0.063133486,97,0.6081632653061224,0.18044122590797412,151,0.3877551020408163
Edgar Ié,2017-2018,Lille,CB,0,0.062024124,98,0.6040816326530613,0.07865431619154008,209,0.1510204081632653
Jason Denayer,2018-2019,Lyon,CB,0,0.061882824,99,0.6,0.30407496800127554,92,0.6285714285714286
Jimmy Giraudon,2017-2018,Troyes,CB,0,0.061682913,100,0.5959183673469388,0.043799985968828066,237,0.036734693877551024
Senou Coulibaly,2019-2020,Dijon,CB,0,0.058477458,101,0.5918367346938775,0.3135321773966687,87,0.6489795918367347
Brendan Chardonnet,2020-2021,Brest,CB,0,0.05630882,102,0.5877551020408164,0.35710410580440577,77,0.689795918367347
Jean-Kevin Duverne,2019-2020,Brest,CB,0,0.055575088,103,0.5836734693877551,0.20462060237369267,132,0.46530612244897956
Andy Pelmard,2020-2021,Nice,CB,0,0.052837845,104,0.5795918367346938,0.20017672570059142,136,0.4489795918367347
Pablo,2019-2020,Bordeaux,CB,0,0.05183037,105,0.5755102040816327,0.1689262517782099,158,0.35918367346938773
Andrei Girotto,2018-2019,Nantes,CB,0,0.05140061,106,0.5714285714285714,0.4459303903359236,57,0.7714285714285715
Alexander Djiku,2017-2018,Caen,CB,0,0.05098045,107,0.5673469387755102,0.2964217044547573,96,0.6122448979591837
Dylan Bronn,2020-2021,Metz,CB,0,0.050673597,108,0.563265306122449,0.1479013532696242,169,0.3142857142857143
Félix Eboa Eboa,2017-2018,Guingamp,CB,0,0.050020866,109,0.5591836734693878,0.17019197623965826,156,0.3673469387755102
Björn Engels,2018-2019,Reims,CB,0,0.049657676,110,0.5551020408163265,0.21736122618385406,125,0.49387755102040815
Fali Candé,2021-2022,Metz,CB,0,0.04962822,111,0.5510204081632653,0.12125342928582436,184,0.2530612244897959
Christopher Jullien,2018-2019,Toulouse,CB,0,0.049398694,112,0.5469387755102041,0.2719011716352279,104,0.5795918367346938
Danilo Barbosa,2019-2020,Nice,CB,0,0.048855208,113,0.5428571428571428,0.4022789164319879,68,0.726530612244898
Cédric Yamberé,2017-2018,Dijon,CB,0,0.04812656,114,0.5387755102040817,0.11445974404279947,186,0.24489795918367346
Brendan Chardonnet,2019-2020,Brest,CB,0,0.04783697,115,0.5346938775510204,0.20920545501128526,129,0.4775510204081633
Jemerson,2017-2018,Monaco,CB,0,0.047304437,116,0.5306122448979592,0.08333778967108928,205,0.1673469387755102
Pablo,2018-2019,Bordeaux,CB,0,0.047287628,117,0.5265306122448979,0.047782637768463955,233,0.053061224489795916
Pedro Mendes,2017-2018,Montpellier,CB,0,0.04677163,118,0.5224489795918368,0.18836922043762178,143,0.4204081632653061
Pape Abou Cissé,2020-2021,Saint-Étienne,CB,0,0.045902357,119,0.5183673469387755,0.10448166266488026,192,0.22040816326530613
Harold Moukoudi,2021-2022,Saint-Étienne,CB,0,0.04540636,120,0.5142857142857142,0.13477451631530574,176,0.2857142857142857
Luan Peres Petroni,2021-2022,Marseille,CB,0,0.0447631,121,0.5102040816326531,0.5198208115574718,43,0.8285714285714286
Christopher Jullien,2017-2018,Toulouse,CB,0,0.043241207,122,0.5061224489795918,0.26330887768063,109,0.5591836734693878
Anel Ahmedhodžić,2021-2022,Bordeaux,CB,0,0.04305702,123,0.5020408163265306,0.49357572037084274,51,0.7959183673469388
Anthony Briançon,2019-2020,Nîmes,CB,0,0.040786535,124,0.49795918367346936,0.13405532290788183,178,0.27755102040816326
